,City,Country,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
48,Axim,GH,4.87,83.01,97,8,7.85
49,Nicoya,CR,10.15,95.0,36,20,28.86
50,Sechura,PE,-5.56,79.32,64,0,10.87
51,Djambala,CG,-2.55,74.82,82,32,3.15
52,Tuktoyaktuk,CA,69.44,19.4,85,90,4.7
53,San Cristobal,EC,-0.39,68.74,56,40,19.46
54,Liverpool,GB,53.41,47.01,70,75,8.05
55,Shitanjing,CN,39.23,50.0,12,8,3.0
56,Luderitz,NA,-26.65,60.96,86,0,9.53
57,Bluff,AU,-23.58,75.99,78,80,7.52
58,Punta Arenas,CL,-53.16,53.6,71,75,14.99
59,Burrel,AL,41.61,48.2,66,75,2.93
60,Mao,DO,19.55,85.08,49,75,9.17
61,Ribeira Grande,PT,38.52,60.8,82,20,5.82
62,Cape Town,ZA,-33.93,67.66,64,0,5.82
63,Puerto Ayora,EC,-0.74,81.19,78,40,10.29
64,Batsfjord,NO,70.63,23.88,79,75,13.87
65,Ribeira Brava,PT,32.65,61.79,59,20,19.46
66,Plettenberg Bay,ZA,-34.05,64.74,96,48,16.69
67,Juegang,CN,32.31,53.04,70,0,13.78
68,Albany,US,42.65,40.21,17,1,16.11
69,Bambous Virieux,MU,-20.34,78.57,83,40,1.12
70,Lebu,ET,8.96,68.0,45,20,6.93
71,Midleton,IE,51.91,46.4,75,40,8.05
72,Seybaplaya,MX,19.65,82.4,74,40,20.8
73,Buraydah,SA,26.33,62.6,39,0,8.05
74,Hilo,US,19.71,72.7,73,90,6.93
75,Etchoropo,MX,26.77,88.07,41,0,8.01
76,Puerto Ayacucho,CO,5.66,98.6,39,20,4.61
77,Komsomolskiy,RU,67.55,28.11,92,88,13.89
78,Huarmey,PE,-10.07,76.8,59,8,3.83
79,Hambantota,LK,6.12,80.13,100,0,9.42
80,Vostok,RU,46.45,19.11,68,56,5.73
81,Brenham,US,30.17,74.95,46,1,3.36
82,Hofn,IS,64.25,40.35,92,0,13.22
83,Melfort,CA,52.87,39.2,80,1,5.82
84,Punta Cardon,VE,11.61,87.87,52,0,22.17
85,Alexandria,US,31.31,69.85,37,1,11.41
86,Ola,RU,59.58,13.89,95,32,9.75
87,Hope,CA,49.38,50.58,76,75,9.17
88,Cherskiy,RU,68.75,9.12,75,80,14.79
89,Kununurra,AU,-15.77,78.8,88,0,2.93
90,Price,US,39.6,57.85,28,1,10.29
91,Victoria,BN,5.28,77.79,94,75,4.72
92,Chokurdakh,RU,70.62,-8.35,64,44,12.88
93,Qaanaaq,GL,77.48,-11.59,72,0,9.75
94,Bethel,US,60.79,37.36,80,20,18.34
95,Omboue,GA,-1.57,83.46,100,12,9.42
96,Ngara,TZ,-2.51,60.06,81,8,2.26
97,La Palma,CO,5.36,74.82,87,32,2.15
98,Codrington,AU,-28.95,69.1,88,90,3.36
99,Kijang,KR,35.24,39.2,80,0,2.24
100,Fort-Shevchenko,KZ,44.51,41.16,94,36,11.99
101,Dikson,RU,73.51,28.56,93,88,25.52
102,Winston-Salem,US,36.1,55.67,58,20,11.41
103,Bang Saphan,TH,11.21,80.94,88,20,5.06
104,Linxia,CN,35.6,25.86,83,76,3.15
105,Tacuarembo,UY,-31.73,68.79,67,88,10.65
106,Nabire,ID,-3.36,66.99,98,92,1.48
107,San Patricio,PY,-26.98,72.66,51,80,6.06
108,Sungaipenuh,ID,-2.08,66.81,94,36,0.47
109,Daru,SL,7.99,83.28,58,0,7.85
110,Zhigansk,RU,66.77,-7.36,61,0,7.18
111,Ushibuka,JP,32.19,47.64,100,0,4.83
112,Ginir,ET,7.14,60.96,81,0,2.82
113,Richards Bay,ZA,-28.77,68.52,90,92,5.73
114,Kutum,SD,14.2,66.18,25,0,9.64
115,Nanortalik,GL,60.14,24.69,100,64,27.31
116,Broome,GB,52.47,47.53,66,40,1.12
117,Severo-Kurilsk,RU,50.68,26.94,100,36,8.52
118,Cabo San Lucas,MX,22.89,79.66,36,40,4.7
119,Bud,NO,62.91,39.49,100,90,11.41
120,Las Palmas,PE,-6.53,62.6,290,75,6.93
121,Narsaq,GL,60.91,23.0,45,75,9.17
122,Mishan,CN,45.55,18.84,68,0,5.95
123,Straseni,MD,47.14,38.07,60,0,2.24
124,Hue,VN,16.47,71.6,100,20,2.24
125,La Libertad,PE,-16.38,69.8,28,75,14.99
126,Fria,GN,10.36,84.54,46,0,11.65
127,Contamana,PE,-7.35,87.6,67,20,0.13
128,Mandera,ET,3.94,80.01,14,12,1.99
129,Hermanus,ZA,-34.42,67.21,79,80,11.01
130,Yerbogachen,RU,61.28,17.76,84,76,4.38
131,Constitucion,MX,23.99,77.99,14,40,6.93
132,Fare,PF,-16.7,81.39,100,48,10.65
133,Iqaluit,CA,63.75,3.2,59,75,16.11
134,Tasiilaq,GL,65.61,26.6,53,40,13.87
135,Methoni,GR,36.82,55.87,81,20,4.7
136,Dubai,AE,25.27,78.66,65,0,13.87
137,Karasjok,NO,69.47,24.8,73,0,9.17
138,Sur,OM,22.57,75.81,83,0,9.64
139,Cradock,ZA,-32.16,50.88,89,88,2.15
140,San Quintin,PH,17.54,60.69,75,0,2.71
141,Nome,US,30.04,74.91,38,1,4.7
142,Viedma,AR,-40.81,66.81,45,0,9.08
143,Beyneu,KZ,45.32,37.56,68,68,7.63
144,Jamestown,AU,-33.21,42.87,80,0,5.5
145,Grindavik,IS,63.84,38.34,69,75,13.87
146,Mugur-Aksy,RU,50.38,-12.4,59,0,1.7
147,Vanavara,RU,60.35,18.48,91,44,5.17
148,Suratgarh,IN,29.32,63.3,57,0,2.71
149,Kudahuvadhoo,MV,2.67,85.26,98,20,10.98
150,Guerrero Negro,MX,27.97,71.94,56,44,10.2
151,Suntar,RU,62.16,1.11,60,48,3.38
152,Bredasdorp,ZA,-34.53,64.76,68,76,10.29
153,Ajalpan,MX,18.37,70.5,31,0,5.61
154,Warangal,IN,17.99,73.11,76,0,8.75
155,Lucapa,AO,-8.42,70.41,88,64,3.83
156,Jegunovce,MK,42.07,41.65,39,20,11.41
157,Vestmanna,FO,62.16,44.6,75,88,13.87
158,Pacific Grove,US,36.62,62.24,67,75,4.7
159,Mount Isa,AU,-20.73,73.4,100,90,8.05
160,Arraial do Cabo,BR,-22.97,82.4,61,20,13.87
161,Sioux City,US,42.5,54.32,71,90,18.34
162,Cockburn Town,TC,21.46,77.79,100,56,8.75
163,Coihaique,CL,-45.58,68.61,42,0,5.82
164,Sao Filipe,CV,14.9,70.41,97,0,11.21
165,Lar,IR,27.66,59.0,100,90,9.17
166,Atbasar,KZ,51.81,16.14,60,0,5.61
167,Mahebourg,MU,-20.41,78.49,83,40,1.12
168,Carmen,PH,7.2,71.58,78,0,1.59
169,Esperance,TT,10.24,85.01,62,20,13.87
170,Bijar,IR,35.87,33.51,95,80,8.75
171,Hithadhoo,MV,-0.6,83.73,100,80,4.61
172,Tuatapere,NZ,-46.13,53.01,91,56,14.0
173,Leningradskiy,RU,69.38,28.74,91,76,24.07
174,Tarko-Sale,RU,64.92,32.0,73,76,21.83
175,Sayyan,YE,15.17,48.09,80,0,1.48
176,Stokmarknes,NO,68.56,32.59,100,75,21.92
177,Hobyo,SO,5.35,81.66,87,92,12.55
178,Erzin,TR,36.95,58.08,54,75,14.99
179,Jalu,LY,29.03,58.62,32,0,7.29
180,Manresa,ES,41.73,52.66,50,0,9.17
181,Thompson,CA,55.74,42.8,48,75,11.41
182,Vila Velha,BR,-3.71,80.19,78,40,3.36
183,Barrow,AR,-38.31,63.12,59,0,6.17
184,Wichita,US,37.69,64.92,45,1,5.82
185,Manukan,ID,-7.15,72.84,98,88,1.48
186,Balad,ID,-6.76,78.96,100,68,6.62
187,Manicore,BR,-5.81,87.8,66,40,13.87
188,Taoudenni,ML,22.68,68.79,75,68,2.26
189,Klaksvik,FO,62.23,44.6,75,56,13.87
190,Portland,US,45.52,56.46,41,20,3.36
191,Tavda,RU,58.04,29.82,83,8,11.43
192,Toccoa,US,34.58,56.39,55,75,9.17
193,Asheville,US,35.6,48.56,81,90,8.05
194,Fortuna,ES,38.18,52.65,67,0,16.11
195,Arman,RU,59.7,10.29,63,64,6.17
196,Aklavik,CA,68.22,35.31,69,40,5.82
197,Salalah,OM,17.01,78.8,78,75,4.7
198,Bilecik,TR,40.14,45.48,61,0,2.24
199,Russell,AR,-33.01,64.4,59,40,10.29
200,Presidencia Roque Saenz Pena,AR,-26.79,61.68,91,92,8.08
201,Saint-Philippe,CA,45.36,31.46,46,1,18.34
202,Vestmannaeyjar,IS,63.44,40.44,85,92,12.44
203,Raudeberg,NO,61.99,39.24,93,75,9.17
204,Half Moon Bay,US,37.46,62.83,67,1,5.82
205,Vila Franca do Campo,PT,37.72,56.07,76,20,9.17
206,Port-Cartier,CA,50.03,19.24,37,75,13.87
207,Longyearbyen,NO,78.22,19.4,67,40,9.17
208,Mamallapuram,IN,12.63,82.4,78,20,4.7
209,Mar del Plata,AR,-46.43,72.66,40,0,6.29
210,Havelock,US,34.88,56.16,35,1,20.8
211,Rockland,US,42.13,43.0,35,1,9.17
212,Torbay,CA,47.66,27.0,60,76,1.99
213,Beyla,GN,8.69,75.99,75,32,4.0
214,Malpe,IN,13.35,82.4,74,20,1.48
215,Sampit,ID,-2.54,74.19,96,80,2.37
216,Coahuayana,MX,18.62,89.49,17,0,2.82
217,Santa Fe,AR,-31.62,75.99,38,68,4.0
218,Beitbridge,ZA,-22.21,74.82,74,12,15.68
219,Sirohi,IN,24.89,60.96,45,0,2.37
220,Lata,IN,30.78,40.71,78,0,3.38
221,Mlonggo,ID,-6.53,74.82,100,88,4.27
222,Avarua,CK,-21.21,84.2,83,0,5.82
223,Lagoa,PT,37.14,62.29,59,40,12.75
224,Castro,CL,-42.48,71.6,37,0,8.05
225,Saint-Paul,FR,45.22,45.23,45,0,6.93
226,Tynda,RU,55.15,0.48,58,20,3.83
227,Harper,US,30.3,75.7,35,1,4.7
228,Tashara,RU,55.52,15.33,69,0,3.49
229,Pisco,PE,-13.71,71.6,30,0,17.22
230,Dalhousie,IN,32.54,40.98,58,0,2.15
231,Cacule,BR,-14.5,77.07,76,76,2.93
232,Nizwa,OM,22.93,59.97,61,0,3.49
233,Saldanha,PT,41.42,55.02,29,0,17.25
234,Manzil Salim,TN,35.86,48.2,93,75,6.93
235,Libourne,FR,44.91,50.61,38,0,10.29
236,Deputatskiy,RU,69.3,-20.23,27,20,3.04
237,Tres Arroyos,AR,-38.38,63.12,59,0,6.17
238,Upernavik,GL,72.79,6.15,100,32,4.94
239,Laguna,MX,27.52,84.2,30,75,6.93
240,Meulaboh,ID,4.14,81.21,100,88,3.15
241,Kieta,PG,-6.22,79.5,100,76,4.61
242,Marovoay,MG,-16.11,80.6,83,20,4.7
243,Faanui,PF,-16.48,83.46,100,32,8.08
244,Bonavista,CA,48.65,28.0,57,0,1.01
245,Kathu,ZA,-27.7,72.0,37,0,5.17
246,Vanimo,PG,-2.67,80.94,100,76,10.2
247,Petropavlovsk-Kamchatskiy,RU,53.05,23.0,57,0,11.18
248,Norman Wells,CA,65.28,35.6,74,20,8.05
249,Nicolas Bravo,MX,24.39,78.06,14,40,6.93
250,Negombo,LK,7.21,80.6,74,20,4.7
251,Providencia,CO,1.24,67.35,64,40,6.93
252,Coquimbo,CL,-29.95,59.0,82,75,8.05
253,Gisborne,NZ,-38.66,69.01,70,8,1.99
254,Praia da Vitoria,PT,38.73,59.56,82,20,8.97
255,Mersing,MY,2.43,81.57,83,92,9.64
256,Statesboro,US,32.45,65.05,72,90,6.93
257,Rawson,AR,-43.3,72.3,36,0,12.44
258,Comodoro Rivadavia,AR,-45.87,68.0,56,0,10.29
259,Khatanga,RU,71.98,25.05,92,88,10.54
260,Zhangye,CN,38.94,26.67,56,0,6.29
261,Luorong,CN,24.41,65.82,96,100,3.94
262,Yenagoa,NG,4.92,79.23,77,0,7.63
263,Anadyr,RU,64.73,28.4,86,20,35.79
264,Ancud,CL,-41.87,71.6,37,0,8.05
265,Lethem,GY,3.38,96.69,33,12,13.0
266,Taltal,CL,-25.41,71.49,66,0,2.48
267,Beringovskiy,RU,63.05,30.72,89,44,31.12
268,Punta Alta,AR,-27.46,77.9,36,0,10.29
269,Twin Falls,US,42.57,59.11,41,1,11.41
270,Bagdarin,RU,54.44,1.92,51,0,5.39
271,Cayenne,GF,4.94,84.2,66,20,11.41
272,Jawhar,IN,19.91,71.22,60,0,1.92
273,Pevek,RU,69.7,15.78,65,56,4.94
274,Kimbe,PG,-5.56,77.79,100,64,1.81
275,Port-Gentil,GA,-0.72,82.4,88,20,8.05
276,Bibiani,GH,6.45,82.47,65,8,8.08
277,Aykhal,RU,65.95,3.36,52,68,4.38
278,Sistranda,NO,63.73,41.36,93,75,20.8
279,Khani,GE,41.96,39.2,93,40,2.24
280,Acajutla,SV,13.59,87.01,39,0,3.0
281,College,US,64.86,40.5,86,90,6.93
282,Karatuzskoye,RU,53.61,17.58,70,0,4.27
283,Velizh,RU,55.61,27.39,72,24,7.07
284,Aswan,EG,24.09,69.8,16,0,8.05
285,Honiara,SB,-9.43,77.43,93,12,3.15
286,San Julian,SV,13.7,89.98,29,20,11.41
287,Waingapu,ID,-9.65,71.13,100,32,2.93
288,Kushima,JP,31.5,44.13,100,0,4.61
289,Santa Cruz,US,36.97,63.99,67,90,3.15
290,Impfondo,CD,1.62,75.0,91,64,1.92
291,Arcata,US,40.87,56.98,66,1,6.93
292,Pangoa,PE,-12.12,72.84,89,36,2.59
293,Iskateley,RU,67.68,27.84,89,76,17.02
294,Okhotsk,RU,59.36,15.69,88,76,6.4
295,Nuevo Progreso,US,26.05,71.76,94,90,9.17
296,Ponta do Sol,BR,-20.63,79.59,57,76,3.04
297,Kholmogory,RU,64.23,28.4,92,75,4.47
298,Georgetown,GY,6.8,84.33,78,40,11.41
299,Rio Bananal,BR,-19.26,85.08,49,32,9.75
300,Chuy,UY,-33.69,65.64,91,88,16.24
301,Molina,CL,-35.11,86.0,25,0,3.36
302,Koumac,NC,-20.56,79.59,77,0,7.96
303,Sovetskiy,RU,56.76,30.18,92,80,10.87
304,Pachino,IT,36.72,48.34,81,0,3.36
305,Ayorou,NE,14.73,87.78,17,56,9.08
306,Sao Joao da Barra,BR,-21.64,82.4,65,0,11.41
307,Cherepovets,RU,59.13,30.2,100,75,2.24
308,Biak,ID,-0.91,79.86,94,88,2.82
309,Aksarka,RU,66.56,32.52,94,88,17.69
310,Aranos,NA,-24.14,77.52,26,88,3.15
311,Marzuq,YE,14.4,52.86,89,0,2.48
312,Xanlar,AZ,40.56,37.4,86,90,6.93
313,Prigorodka,RU,52.04,35.6,93,90,5.95
314,Houma,CN,35.63,46.11,55,92,3.15
315,Abu Samrah,SY,35.3,48.09,72,32,9.75
316,Paciran,ID,-6.9,73.74,97,56,3.38
317,Umm Lajj,SA,25.02,59.52,100,0,5.84
318,Bam,IR,29.11,68.52,41,20,15.01
319,Bien Hoa,VN,10.95,82.4,58,20,8.05
320,Amapa,HN,15.09,89.6,49,40,18.34
321,Venezuela,CU,21.74,79.32,92,44,10.87
322,Vetlanda,SE,57.43,32.72,60,0,4.7
323,Nara,JP,34.68,43.99,87,20,5.82
324,Hit,IQ,33.64,46.29,83,48,3.15
325,Srednekolymsk,RU,67.46,3.18,63,80,11.77
326,Grand-Santi,GF,4.27,79.77,84,80,3.15
327,Antipino,RU,57.11,32.0,84,0,11.18
328,Clyde River,CA,70.47,-0.41,64,20,6.93
329,Curup,ID,-3.47,70.59,95,44,0.47
330,Omsukchan,RU,62.53,-1.87,62,56,13.78
331,El Campo,US,29.2,77.94,31,1,5.82
332,Sola,NO,58.89,43.05,100,75,12.75
333,Maloy,ID,1.0,77.79,84,80,2.71
334,Tautira,PF,-17.73,86.0,66,75,3.36
335,Solnechnyy,RU,50.72,6.69,77,48,3.71
336,Islamkot,PK,24.7,69.42,48,0,2.71
337,Dalvik,SE,57.79,34.54,59,0,4.7
338,Kodiak,US,39.95,60.08,51,20,6.93
339,Ilulissat,GL,69.22,12.2,85,90,9.17
340,Talnakh,RU,69.49,27.84,90,92,18.81
341,Palmer,US,61.6,40.5,64,1,3.36
342,Padang,ID,-0.92,78.8,100,75,1.12
343,Nishihara,JP,35.74,45.73,58,0,16.11
344,Candido de Abreu,BR,-24.57,79.68,64,32,2.26
345,Dakar,SN,14.69,69.8,60,0,16.11
346,Chumikan,RU,54.72,7.86,51,32,6.51
347,Sembakung,ID,3.82,74.91,98,20,2.15
348,Hangu,PK,33.53,44.31,79,0,1.92
349,Kenai,US,60.55,42.39,60,1,3.38
350,Haines Junction,CA,60.75,37.02,55,20,3.15
351,Kirakira,SB,-10.46,82.74,100,8,9.42
352,Vardo,US,39.62,46.78,24,1,6.93
353,Atar,MR,20.52,65.01,42,0,4.61
354,Alice Springs,AU,-23.7,57.2,58,0,3.36
355,Sterling,US,39.0,48.43,36,1,9.17
356,Margate,AU,-43.03,43.0,70,0,8.05
357,Kerikeri,NZ,-35.23,70.59,64,76,11.99
358,Harer,US,42.19,45.52,64,1,3.27
359,Killybegs,IE,54.63,47.52,87,90,9.17
360,Praya,ID,-8.71,75.2,100,75,3.36
361,Elko,US,40.83,58.44,23,1,10.29
362,Voznesenskoye,RU,54.89,27.84,86,0,7.29
363,Saiha,IN,22.49,62.58,81,0,1.59
364,Alasehir,TR,38.35,47.64,56,56,3.6
365,Puerto Madryn,AR,-42.77,65.64,66,0,21.27
366,De Aar,ZA,-30.65,60.87,41,32,8.86
367,Blagoyevo,RU,63.37,30.63,87,56,4.61
368,Luau,CD,-10.7,67.62,94,76,2.71
369,Beloha,MG,-25.17,72.39,92,0,2.93
370,Pochutla,MX,15.74,90.46,100,5,17.22
371,Zhanakorgan,KZ,43.91,57.63,93,92,8.75
372,Davila,PH,18.47,76.89,95,0,15.68
373,Luocheng,CN,28.29,55.2,97,92,3.04
374,Mecca,SA,21.43,56.82,51,0,4.61
375,Bolu,TR,40.73,26.67,81,12,0.58
376,Media Luna,BO,-21.67,64.4,72,90,8.05
377,Henties Bay,NA,-22.12,61.0,92,24,3.0
378,Bandarbeyla,SO,9.49,80.22,100,92,4.83
379,Fomboni,KM,-12.28,84.99,100,0,5.61
380,Terrace,CA,54.52,52.52,50,40,5.82
381,Lhokseumawe,ID,5.18,84.18,97,12,2.15
382,Teguldet,RU,57.31,15.24,80,0,3.27
383,Funes,AR,-32.92,71.58,43,0,3.36
384,Sao Jose da Coroa Grande,BR,-8.9,80.76,88,76,8.08
385,Saint-Francois,FR,46.42,40.06,52,0,11.41
386,Kodinsk,RU,58.6,16.14,81,80,2.71
387,Arlit,NE,18.74,75.45,30,20,2.71
388,Nanga Eboko,CM,4.68,79.32,59,0,8.97
389,Pontianak,ID,-0.02,77.79,98,76,4.38
390,Atasu,KZ,48.68,39.09,87,88,5.39
391,Brusque,BR,-27.1,72.79,73,90,9.17
392,Silvan,TR,38.14,50.0,87,40,3.36
393,Bria,CF,6.54,74.28,87,56,6.62
394,Rio Grande,BR,-32.03,69.8,77,75,10.29
395,Kangaatsiaq,GL,68.31,11.82,100,64,5.28
396,Anahuac,US,29.77,75.27,38,1,4.7
397,Nanchong,CN,30.8,55.11,85,92,2.93
398,Shubarshi,KZ,48.59,24.15,72,0,3.27
399,Asosa,ET,10.07,68.79,32,0,4.94
400,Trebic,CZ,49.21,40.91,45,0,11.41
401,Goderich,CA,43.74,36.25,71,0,7.74
402,Mogadishu,SO,2.04,83.46,96,0,16.46
403,Moron,VE,10.49,85.8,48,12,3.83
404,Poum,MK,41.28,37.11,65,56,1.59
405,Sao Domingos do Maranhao,BR,-5.58,76.62,96,56,1.59
406,Ivangorod,RU,59.38,28.11,68,0,10.31
407,Riyadh,SA,24.63,62.6,33,0,3.36
408,Tulsipur,IN,27.53,59.52,84,0,3.83
409,Krasnokamsk,RU,58.08,30.2,74,40,11.18
410,Xining,CN,36.62,19.2,72,36,0.58
411,Hovd,NO,63.83,38.41,93,90,4.7
412,Novikovo,UA,45.05,41.7,89,24,1.7
413,Dudinka,RU,69.41,28.47,88,92,23.85
414,Ratnagiri,IN,16.98,79.32,100,24,6.4
415,Mandalgovi,MN,45.76,19.56,65,68,14.56
416,Katsuura,JP,33.93,45.16,61,20,3.36
417,Provideniya,RU,64.42,31.89,96,88,30.0
418,Constantine,DZ,36.36,44.6,87,75,6.93
419,Tarakan,ID,3.3,78.87,100,76,2.26
420,Dalbandin,PK,28.9,65.01,53,88,5.95
421,Nortelandia,BR,-14.45,80.67,91,8,3.94
422,Muzhi,RU,65.4,31.08,91,92,15.46
423,San Jose,PH,15.79,68.52,90,24,2.93
424,Geraldton,CA,49.72,39.2,21,90,17.22
425,Dzhebariki-Khaya,RU,62.22,-7.81,61,12,2.82
426,Kavieng,PG,-2.57,83.28,100,0,7.74
427,Jiwani,PK,25.05,67.53,91,68,3.27
428,Yar-Sale,RU,66.83,32.79,88,76,21.05
429,Veraval,FR,49.65,41.9,81,0,5.82
430,Male,UA,50.74,29.01,82,0,2.93
431,Paramonga,PE,-10.68,69.51,96,8,8.63
432,Itarema,BR,-2.92,80.49,85,64,6.06
433,Lompoc,US,34.64,66.07,45,1,4.7
434,Port Hedland,AU,-20.31,78.8,100,48,4.7
435,Basco,US,40.33,50.43,23,1,11.41
436,Nioro,GM,13.79,80.4,41,0,5.95
437,Edd,ER,13.93,72.12,79,0,2.59
438,Sokoto,NG,13.06,79.32,23,0,7.96
439,Itupiranga,BR,-5.13,80.6,88,75,4.7
440,Vung Tau,VN,10.35,82.02,93,0,22.28
441,Zarubino,RU,42.65,27.93,100,56,4.38
442,Beira,ES,43.2,52.92,57,0,8.05
443,Ishigaki,JP,24.34,71.94,100,12,12.21
444,Queimadas,BR,-7.36,75.2,88,75,18.34
445,Horsham,AU,-36.71,42.06,82,0,2.71
446,Whittlesea,AU,-37.51,51.58,81,20,10.29
447,Leicester,GB,52.64,45.19,70,40,6.93
448,Giovinazzo,IT,41.19,52.11,87,75,11.41
449,Plaistow,GB,51.53,44.8,61,0,2.24
450,Brainerd,US,46.36,42.6,45,40,12.75
451,Luanda,AO,-8.83,80.6,83,75,3.36
452,Panama City,US,30.16,70.9,53,20,14.99
453,Tezu,IN,27.93,53.04,99,92,1.59
454,Eyl,SO,7.98,80.13,96,92,8.19
455,Keflavik,IS,64.0,38.34,69,75,13.87
456,Naze,NG,5.43,75.2,94,75,4.7
457,Ustye,RU,58.76,29.01,78,8,15.68
458,Khomutovka,RU,51.92,26.94,83,0,5.06
459,Camp Verde,US,34.56,71.89,21,1,6.93
460,Manokwari,ID,-0.87,80.94,100,64,9.42
461,Karoi,ZW,-16.82,72.21,55,0,9.64
462,Oranjestad,AW,12.52,86.0,62,40,20.8
463,Chesma,RU,53.81,18.75,81,0,5.06
464,Marawi,PH,8.0,72.0,88,0,5.01
465,Gobabis,NA,-22.45,68.16,63,56,3.71
466,Tadine,NC,-21.55,77.7,100,80,18.48
467,Guangyuan,CN,32.43,57.0,73,48,2.15
468,Maningrida,AU,-12.05,79.68,98,100,8.52
469,Sinnamary,GF,5.38,80.94,91,88,10.76
470,Kahului,US,20.89,74.12,54,20,13.87
471,Waipawa,NZ,-39.94,66.0,62,32,5.01
472,Murray Bridge,AU,-35.12,54.84,95,0,4.16
473,Mayo,CA,63.59,39.2,55,20,3.49
474,Kjopsvik,NO,68.1,33.01,100,75,12.75
475,Baoning,CN,25.34,60.8,93,90,4.38
476,Menongue,AO,-14.66,74.64,58,100,3.38
477,Port Elizabeth,US,39.31,46.94,18,1,13.87
478,Rusape,ZW,-18.53,59.88,91,44,2.48
479,Ocampo,PH,13.56,78.42,88,92,11.99
480,Port Blair,IN,11.67,80.49,100,80,6.06
481,Matara,PE,-13.74,53.6,87,90,2.26
482,West Bay,GB,50.71,46.29,75,20,10.29
483,Vorukh,KG,39.85,22.35,91,36,1.14
484,Stromness,CA,42.87,39.02,23,20,6.93
485,Barra Patuca,HN,15.8,83.82,74,0,11.99
486,Zhob,PK,31.34,54.12,57,32,4.27
487,Sanchor,IN,24.76,68.88,35,0,2.37
488,Strezhevoy,RU,60.73,33.8,86,75,17.9
489,Kirn,DE,49.79,41.38,88,75,5.82
490,Kurumkan,RU,54.33,-13.66,36,0,1.92
491,Valdivia,CL,-39.81,82.4,32,0,11.41
492,Tual,ID,-5.67,82.38,100,44,9.98
493,Ostrovnoy,RU,68.05,18.93,89,0,12.21
494,Bulri,PK,24.87,74.28,39,12,6.4
495,Santa Rosalia,IT,38.07,54.21,71,40,16.11
496,Yulara,AU,-25.24,59.0,47,0,8.05
497,Sao Joao Nepomuceno,BR,-21.54,75.81,81,76,3.71
498,Kaeo,NZ,-35.1,70.59,64,76,11.99
499,Gashua,NG,12.87,78.87,19,0,9.75
500,Calabozo,VE,8.92,97.95,30,0,8.75
501,Murdochville,CA,48.96,17.31,58,12,17.81
502,Filingue,NE,14.35,83.1,21,36,9.19
503,Alofi,NU,-19.06,82.4,74,75,11.41
